gene_ID,transcript_ID,protein_ID
LOC118403077,XM_035801515.1,XP_035657408.1
LOC118403078,XM_035801522.1,XP_035657415.1
LOC118403079,XM_035801519.1,XP_035657412.1
LOC118403080,XM_035801520.1,XP_035657413.1
LOC118403081,XM_035801521.1,XP_035657414.1
LOC118403082,XM_035801523.1,XP_035657416.1
LOC118403083,XM_035801524.1,XP_035657417.1
LOC118403084,XM_035801525.1,XP_035657418.1
LOC118403085,XM_035801536.1,XP_035657429.1
LOC118403086,XM_035801542.1,XP_035657435.1
LOC118403087,XM_035801551.1,XP_035657444.1
LOC118403088,XM_035801548.1,XP_035657441.1
LOC118403089,XM_035801550.1,XP_035657443.1
LOC118403090,XM_035801557.1,XP_035657450.1
LOC118403091,XM_035801558.1,XP_035657451.1
LOC118403092,XM_035801561.1,XP_035657454.1
LOC118403093,XM_035801565.1,XP_035657458.1
LOC118403094,XM_035801563.1,XP_035657456.1
LOC118403095,XM_035801564.1,XP_035657457.1
LOC118403096,XM_035801567.1,XP_035657460.1
LOC118403097,XM_035801579.1,XP_035657472.1
LOC118403098,XM_035801576.1,XP_035657469.1
LOC118403099,XM_035801577.1,XP_035657470.1
LOC118403100,XM_035801578.1,XP_035657471.1
LOC118403101,XM_035801581.1,XP_035657474.1
LOC118403102,XM_035801582.1,XP_035657475.1
LOC118403103,XM_035801584.1,XP_035657477.1
LOC118403104,XM_035801586.1,XP_035657479.1
LOC118403105,XM_035801587.1,XP_035657480.1
LOC118403106,XM_035801588.1,XP_035657481.1
LOC118403113,XM_035801589.1,XP_035657482.1
LOC118403114,XM_035801590.1,XP_035657483.1
LOC118403115,XM_035801591.1,XP_035657484.1
LOC118403116,XM_035801598.1,XP_035657491.1
LOC118403117,XM_035801594.1,XP_035657487.1
LOC118403118,XM_035801595.1,XP_035657488.1
LOC118403119,XM_035801596.1,XP_035657489.1
LOC118403120,XM_035801601.1,XP_035657494.1
LOC118403122,XM_035801609.1,XP_035657502.1
LOC118403123,XM_035801610.1,XP_035657503.1
LOC118403124,XM_035801612.1,XP_035657505.1
LOC118403125,XM_035801615.1,XP_035657508.1
LOC118403126,XM_035801618.1,XP_035657511.1
LOC118403127,XM_035801619.1,XP_035657512.1
LOC118403128,XM_035801621.1,XP_035657514.1
LOC118403129,XM_035801622.1,XP_035657515.1
LOC118403130,XM_035801623.1,XP_035657516.1
LOC118403131,XM_035801625.1,XP_035657518.1
LOC118403132,XM_035801626.1,XP_035657519.1
LOC118403133,XM_035801627.1,XP_035657520.1
LOC118403134,XM_035801629.1,XP_035657522.1
LOC118403135,XM_035801630.1,XP_035657523.1
LOC118403136,XM_035801634.1,XP_035657527.1
LOC118403137,XM_035801635.1,XP_035657528.1
LOC118403138,XM_035801637.1,XP_035657530.1
LOC118403139,XM_035801639.1,XP_035657532.1
LOC118403140,XM_035801685.1,XP_035657578.1
LOC118403141,XM_035801646.1,XP_035657539.1
LOC118403142,XM_035801647.1,XP_035657540.1
LOC118403143,XM_035801650.1,XP_035657543.1
LOC118403144,XM_035801652.1,XP_035657545.1
LOC118403145,XM_035801653.1,XP_035657546.1
LOC118403146,XM_035801655.1,XP_035657548.1
LOC118403147,XM_035801656.1,XP_035657549.1
LOC118403148,XM_035801657.1,XP_035657550.1
LOC118403149,XM_035801660.1,XP_035657553.1
LOC118403150,XM_035801666.1,XP_035657559.1
LOC118403151,XM_035801667.1,XP_035657560.1
LOC118403152,XM_035801672.1,XP_035657565.1
LOC118403153,XM_035801673.1,XP_035657566.1
LOC118403155,XM_035801674.1,XP_035657567.1
LOC118403156,XM_035801691.1,XP_035657584.1
LOC118403157,XM_035801701.1,XP_035657594.1
LOC118403158,XM_035801704.1,XP_035657597.1
LOC118403159,XM_035801702.1,XP_035657595.1
LOC118403160,XM_035801703.1,XP_035657596.1
LOC118403162,XM_035801705.1,XP_035657598.1
LOC118403163,XM_035801707.1,XP_035657600.1
LOC118403165,XM_035801708.1,XP_035657601.1
LOC118403166,XM_035801709.1,XP_035657602.1
LOC118403167,XM_035801710.1,XP_035657603.1
LOC118403169,XM_035801714.1,XP_035657607.1
LOC118403170,XM_035801711.1,XP_035657604.1
LOC118403171,XM_035801712.1,XP_035657605.1
LOC118403173,XM_035801713.1,XP_035657606.1
LOC118403174,XM_035801725.1,XP_035657618.1
LOC118403175,XM_035801729.1,XP_035657622.1
LOC118403176,XM_035801730.1,XP_035657623.1
LOC118403177,XM_035801732.1,XP_035657625.1
LOC118403178,XM_035801734.1,XP_035657627.1
LOC118403179,XM_035801735.1,XP_035657628.1
LOC118403180,XM_035801739.1,XP_035657632.1
LOC118403181,XM_035801737.1,XP_035657630.1
LOC118403182,XM_035801738.1,XP_035657631.1
LOC118403183,XM_035801740.1,XP_035657633.1
LOC118403184,XM_035801748.1,XP_035657641.1
LOC118403185,XM_035801753.1,XP_035657646.1
LOC118403186,XM_035801749.1,XP_035657642.1
LOC118403187,XM_035801752.1,XP_035657645.1
LOC118403189,XM_035801754.1,XP_035657647.1
LOC118403190,XM_035801760.1,XP_035657653.1
LOC118403191,XM_035801761.1,XP_035657654.1
LOC118403192,XM_035801765.1,XP_035657658.1
LOC118403194,XM_035801764.1,XP_035657657.1
LOC118403195,XM_035801766.1,XP_035657659.1
LOC118403196,XM_035801770.1,XP_035657663.1
LOC118403198,XM_035801771.1,XP_035657664.1
LOC118403199,XM_035801772.1,XP_035657665.1
LOC118403200,XM_035801773.1,XP_035657666.1
LOC118403201,XM_035801777.1,XP_035657670.1
LOC118403202,XM_035801775.1,XP_035657668.1
LOC118403203,XM_035801776.1,XP_035657669.1
LOC118403204,XM_035801778.1,XP_035657671.1
LOC118403205,XM_035801781.1,XP_035657674.1
LOC118403206,XM_035801786.1,XP_035657679.1
LOC118403207,XM_035801788.1,XP_035657681.1
LOC118403208,XM_035801792.1,XP_035657685.1
LOC118403209,XM_035801793.1,XP_035657686.1
LOC118403210,XM_035801795.1,XP_035657688.1
LOC118403211,XM_035801797.1,XP_035657690.1
LOC118403213,XM_035801798.1,XP_035657691.1
LOC118403214,XM_035801811.1,XP_035657704.1
LOC118403215,XM_035801812.1,XP_035657705.1
LOC118403216,XM_035801813.1,XP_035657706.1
LOC118403217,XM_035801816.1,XP_035657709.1
LOC118403218,XM_035801817.1,XP_035657710.1
LOC118403219,XM_035801819.1,XP_035657712.1
LOC118403220,XM_035801820.1,XP_035657713.1
LOC118403221,XM_035801821.1,XP_035657714.1
LOC118403222,XM_035801823.1,XP_035657716.1
LOC118403223,XM_035801824.1,XP_035657717.1
LOC118403224,XM_035801827.1,XP_035657720.1
LOC118403225,XM_035801828.1,XP_035657721.1
LOC118403226,XM_035801829.1,XP_035657722.1
LOC118403227,XM_035801832.1,XP_035657725.1
LOC118403230,XM_035801830.1,XP_035657723.1
LOC118403231,XM_035801831.1,XP_035657724.1
LOC118403232,XM_035801833.1,XP_035657726.1
LOC118403233,XM_035801834.1,XP_035657727.1
LOC118403234,XM_035801835.1,XP_035657728.1
LOC118403235,XM_035801836.1,XP_035657729.1
LOC118403236,XM_035801838.1,XP_035657731.1
LOC118403237,XM_035801840.1,XP_035657733.1
LOC118403238,XM_035801844.1,XP_035657737.1
LOC118403239,XM_035801843.1,XP_035657736.1
LOC118403240,XM_035801845.1,XP_035657738.1
LOC118403241,XM_035801846.1,XP_035657739.1
LOC118403242,XM_035801847.1,XP_035657740.1
LOC118403243,XM_035801848.1,XP_035657741.1
LOC118403244,XM_035801849.1,XP_035657742.1
LOC118403245,XM_035801850.1,XP_035657743.1
LOC118403246,XM_035801893.1,XP_035657786.1
LOC118403247,XM_035801855.1,XP_035657748.1
LOC118403248,XM_035801852.1,XP_035657745.1
LOC118403249,XM_035801853.1,XP_035657746.1
LOC118403250,XM_035801854.1,XP_035657747.1
LOC118403251,XM_035801856.1,XP_035657749.1
LOC118403252,XM_035801859.1,XP_035657752.1
LOC118403253,XM_035801861.1,XP_035657754.1
LOC118403254,XM_035801863.1,XP_035657756.1
LOC118403255,XM_035801864.1,XP_035657757.1
LOC118403257,XM_035801866.1,XP_035657759.1
LOC118403258,XM_035801868.1,XP_035657761.1
LOC118403259,XM_035801869.1,XP_035657762.1
LOC118403260,XM_035801871.1,XP_035657764.1
LOC118403261,XM_035801875.1,XP_035657768.1
LOC118403262,XM_035801872.1,XP_035657765.1
LOC118403263,XM_035801873.1,XP_035657766.1
LOC118403264,XM_035801874.1,XP_035657767.1
LOC118403266,XM_035801876.1,XP_035657769.1
LOC118403267,XM_035801877.1,XP_035657770.1
LOC118403268,XM_035801878.1,XP_035657771.1
LOC118403269,XM_035801887.1,XP_035657780.1
LOC118403270,XM_035801904.1,XP_035657797.1
LOC118403271,XM_035801914.1,XP_035657807.1
LOC118403272,XM_035801919.1,XP_035657812.1
LOC118403273,XM_035801917.1,XP_035657810.1
LOC118403274,XM_035801921.1,XP_035657814.1
LOC118403275,XM_035801923.1,XP_035657816.1
LOC118403276,XM_035801924.1,XP_035657817.1
LOC118403277,XM_035801925.1,XP_035657818.1
LOC118403279,XM_035801926.1,XP_035657819.1
LOC118403280,XM_035801929.1,XP_035657822.1
LOC118403281,XM_035801927.1,XP_035657820.1
LOC118403283,XM_035801928.1,XP_035657821.1
LOC118403284,XM_035801933.1,XP_035657826.1
LOC118403285,XM_035801934.1,XP_035657827.1
LOC118403286,XM_035801935.1,XP_035657828.1
LOC118403287,XM_035801936.1,XP_035657829.1
LOC118403288,XM_035801942.1,XP_035657835.1
LOC118403289,XM_035801938.1,XP_035657831.1
LOC118403290,XM_035801939.1,XP_035657832.1
LOC118403291,XM_035801943.1,XP_035657836.1
LOC118403292,XM_035801946.1,XP_035657839.1
LOC118403293,XM_035801947.1,XP_035657840.1
LOC118403294,XM_035801948.1,XP_035657841.1
LOC118403295,XM_035801949.1,XP_035657842.1
LOC118403296,XM_035801950.1,XP_035657843.1
LOC118403297,XM_035801955.1,XP_035657848.1
LOC118403298,XM_035801954.1,XP_035657847.1
LOC118403299,XM_035801956.1,XP_035657849.1
LOC118403300,XM_035801958.1,XP_035657851.1
LOC118403301,XM_035801960.1,XP_035657853.1
LOC118403302,XM_035801961.1,XP_035657854.1
LOC118403303,XM_035801962.1,XP_035657855.1
LOC118403304,XM_035801964.1,XP_035657857.1
LOC118403305,XM_035801965.1,XP_035657858.1
LOC118403306,XM_035801966.1,XP_035657859.1
LOC118403307,XM_035801967.1,XP_035657860.1
LOC118403308,XM_035801975.1,XP_035657868.1
LOC118403309,XM_035802027.1,XP_035657920.1
LOC118403310,XM_035801993.1,XP_035657886.1
LOC118403311,XM_035801995.1,XP_035657888.1
LOC118403312,XM_035801999.1,XP_035657892.1
LOC118403313,XM_035802004.1,XP_035657897.1
LOC118403314,XM_035802007.1,XP_035657900.1
LOC118403315,XM_035802013.1,XP_035657906.1
LOC118403316,XM_035802014.1,XP_035657907.1
LOC118403317,XM_035802018.1,XP_035657911.1
LOC118403318,XM_035802015.1,XP_035657908.1
LOC118403319,XM_035802016.1,XP_035657909.1
LOC118403320,XM_035802019.1,XP_035657912.1
LOC118403321,XM_035802021.1,XP_035657914.1
LOC118403322,XM_035802022.1,XP_035657915.1
LOC118403323,XM_035802024.1,XP_035657917.1
LOC118403324,XM_035802026.1,XP_035657919.1
LOC118403326,XM_035802028.1,XP_035657921.1
LOC118403327,XM_035802029.1,XP_035657922.1
LOC118403328,XM_035802030.1,XP_035657923.1
LOC118403329,XM_035802031.1,XP_035657924.1
LOC118403330,XM_035802033.1,XP_035657926.1
LOC118403331,XM_035802034.1,XP_035657927.1
LOC118403332,XM_035802038.1,XP_035657931.1
LOC118403333,XM_035802035.1,XP_035657928.1
LOC118403334,XM_035802036.1,XP_035657929.1
LOC118403335,XM_035802037.1,XP_035657930.1
LOC118403336,XM_035802039.1,XP_035657932.1
LOC118403337,XM_035802040.1,XP_035657933.1
LOC118403338,XM_035802042.1,XP_035657935.1
LOC118403339,XM_035802045.1,XP_035657938.1
LOC118403340,XM_035802046.1,XP_035657939.1
LOC118403341,XM_035802050.1,XP_035657943.1
LOC118403342,XM_035802047.1,XP_035657940.1
LOC118403343,XM_035802048.1,XP_035657941.1
LOC118403344,XM_035802049.1,XP_035657942.1
LOC118403345,XM_035802051.1,XP_035657944.1
LOC118403346,XM_035802052.1,XP_035657945.1
LOC118403347,XM_035802053.1,XP_035657946.1
LOC118403348,XM_035802054.1,XP_035657947.1
LOC118403349,XM_035802055.1,XP_035657948.1
LOC118403350,XM_035802056.1,XP_035657949.1
LOC118403351,XM_035802060.1,XP_035657953.1
LOC118403352,XM_035802057.1,XP_035657950.1
LOC118403353,XM_035802058.1,XP_035657951.1
LOC118403354,XM_035802059.1,XP_035657952.1
LOC118403355,XM_035802061.1,XP_035657954.1
LOC118403357,XM_035802062.1,XP_035657955.1
LOC118403358,XM_035802063.1,XP_035657956.1
LOC118403362,XM_035802066.1,XP_035657959.1
LOC118403365,XM_035802064.1,XP_035657957.1
LOC118403366,XM_035802065.1,XP_035657958.1
LOC118403367,XM_035802068.1,XP_035657961.1
LOC118403368,XM_035802069.1,XP_035657962.1
LOC118403369,XM_035802070.1,XP_035657963.1
LOC118403370,XM_035802071.1,XP_035657964.1
LOC118403371,XM_035802073.1,XP_035657966.1
LOC118403372,XM_035802086.1,XP_035657979.1
LOC118403373,XM_035802074.1,XP_035657967.1
LOC118403374,XM_035802075.1,XP_035657968.1
LOC118403376,XM_035802076.1,XP_035657969.1
LOC118403377,XM_035802080.1,XP_035657973.1
LOC118403378,XM_035802083.1,XP_035657976.1
LOC118403379,XM_035802084.1,XP_035657977.1
LOC118403380,XM_035802085.1,XP_035657978.1
LOC118403381,XM_035802087.1,XP_035657980.1
LOC118403382,XM_035802088.1,XP_035657981.1
LOC118403383,XM_035802090.1,XP_035657983.1
LOC118403384,XM_035802091.1,XP_035657984.1
LOC118403385,XM_035802092.1,XP_035657985.1
LOC118403386,XM_035802093.1,XP_035657986.1
LOC118403387,XM_035802095.1,XP_035657988.1
LOC118403388,XM_035802097.1,XP_035657990.1
LOC118403389,XM_035802099.1,XP_035657992.1
LOC118403390,XM_035802101.1,XP_035657994.1
LOC118403391,XM_035802102.1,XP_035657995.1
LOC118403392,XM_035802106.1,XP_035657999.1
LOC118403393,XM_035802103.1,XP_035657996.1
LOC118403394,XM_035802104.1,XP_035657997.1
LOC118403395,XM_035802105.1,XP_035657998.1
LOC118403397,XM_035802107.1,XP_035658000.1
LOC118403398,XM_035802108.1,XP_035658001.1
LOC118403399,XM_035802109.1,XP_035658002.1
LOC118403400,XM_035802110.1,XP_035658003.1
LOC118403401,XM_035802115.1,XP_035658008.1
LOC118403402,XM_035802112.1,XP_035658005.1
LOC118403403,XM_035802113.1,XP_035658006.1
LOC118403404,XM_035802114.1,XP_035658007.1
LOC118403405,XM_035802116.1,XP_035658009.1
LOC118403406,XM_035802117.1,XP_035658010.1
LOC118403407,XM_035802118.1,XP_035658011.1
LOC118403408,XM_035802119.1,XP_035658012.1
LOC118403409,XM_035802121.1,XP_035658014.1
LOC118403410,XM_035802122.1,XP_035658015.1
LOC118403411,XM_035802127.1,XP_035658020.1
LOC118403412,XM_035802124.1,XP_035658017.1
LOC118403413,XM_035802125.1,XP_035658018.1
LOC118403414,XM_035802126.1,XP_035658019.1
LOC118403416,XM_035802128.1,XP_035658021.1
LOC118403417,XM_035802129.1,XP_035658022.1
LOC118403418,XM_035802130.1,XP_035658023.1
LOC118403419,XM_035802131.1,XP_035658024.1
LOC118403420,XM_035802132.1,XP_035658025.1
LOC118403421,XM_035802141.1,XP_035658034.1
LOC118403422,XM_035802133.1,XP_035658026.1
LOC118403423,XM_035802134.1,XP_035658027.1
LOC118403424,XM_035802136.1,XP_035658029.1
LOC118403425,XM_035802137.1,XP_035658030.1
LOC118403426,XM_035802138.1,XP_035658031.1
LOC118403427,XM_035802139.1,XP_035658032.1
LOC118403428,XM_035802140.1,XP_035658033.1
LOC118403429,XM_035802142.1,XP_035658035.1
LOC118403430,XM_035802143.1,XP_035658036.1
LOC118403431,XM_035802144.1,XP_035658037.1
LOC118403432,XM_035802145.1,XP_035658038.1
LOC118403433,XM_035802147.1,XP_035658040.1
LOC118403434,XM_035802148.1,XP_035658041.1
LOC118403435,XM_035802150.1,XP_035658043.1
LOC118403436,XM_035802151.1,XP_035658044.1
LOC118403437,XM_035802152.1,XP_035658045.1
LOC118403438,XM_035802153.1,XP_035658046.1
LOC118403439,XM_035802155.1,XP_035658048.1
LOC118403440,XM_035802156.1,XP_035658049.1
LOC118403441,XM_035802157.1,XP_035658050.1
LOC118403442,XM_035802158.1,XP_035658051.1
LOC118403443,XM_035802159.1,XP_035658052.1
LOC118403444,XM_035802160.1,XP_035658053.1
LOC118403445,XM_035802161.1,XP_035658054.1
LOC118403446,XM_035802164.1,XP_035658057.1
LOC118403448,XM_035802162.1,XP_035658055.1
LOC118403449,XM_035802165.1,XP_035658058.1
LOC118403450,XM_035802166.1,XP_035658059.1
LOC118403451,XM_035802167.1,XP_035658060.1
LOC118403452,XM_035802168.1,XP_035658061.1
LOC118403453,XM_035802169.1,XP_035658062.1
LOC118403454,XM_035802170.1,XP_035658063.1
LOC118403455,XM_035802174.1,XP_035658067.1
LOC118403456,XM_035802171.1,XP_035658064.1
LOC118403457,XM_035802172.1,XP_035658065.1
LOC118403458,XM_035802173.1,XP_035658066.1
LOC118403459,XM_035802175.1,XP_035658068.1
LOC118403460,XM_035802176.1,XP_035658069.1
LOC118403461,XM_035802177.1,XP_035658070.1
LOC118403462,XM_035802178.1,XP_035658071.1
LOC118403463,XM_035802179.1,XP_035658072.1
LOC118403464,XM_035802180.1,XP_035658073.1
LOC118403465,XM_035802185.1,XP_035658078.1
LOC118403466,XM_035802181.1,XP_035658074.1
LOC118403467,XM_035802182.1,XP_035658075.1
LOC118403468,XM_035802184.1,XP_035658077.1
LOC118403469,XM_035802187.1,XP_035658080.1
LOC118403470,XM_035802188.1,XP_035658081.1
LOC118403471,XM_035802194.1,XP_035658087.1
LOC118403472,XM_035802198.1,XP_035658091.1
LOC118403473,XM_035802195.1,XP_035658088.1
LOC118403474,XM_035802196.1,XP_035658089.1
LOC118403475,XM_035802197.1,XP_035658090.1
LOC118403476,XM_035802199.1,XP_035658092.1
LOC118403477,XM_035802200.1,XP_035658093.1
LOC118403478,XM_035802201.1,XP_035658094.1
LOC118403480,XM_035802202.1,XP_035658095.1
LOC118403481,XM_035802203.1,XP_035658096.1
LOC118403482,XM_035802205.1,XP_035658098.1
LOC118403483,XM_035802206.1,XP_035658099.1
LOC118403484,XM_035802207.1,XP_035658100.1
LOC118403486,XM_035802208.1,XP_035658101.1
LOC118403487,XM_035802209.1,XP_035658102.1
LOC118403488,XM_035802210.1,XP_035658103.1
LOC118403489,XM_035802212.1,XP_035658105.1
LOC118403490,XM_035802213.1,XP_035658106.1
LOC118403491,XM_035802214.1,XP_035658107.1
LOC118403492,XM_035802215.1,XP_035658108.1
LOC118403493,XM_035802216.1,XP_035658109.1
LOC118403494,XM_035802217.1,XP_035658110.1
LOC118403495,XM_035802219.1,XP_035658112.1
LOC118403496,XM_035802220.1,XP_035658113.1
LOC118403497,XM_035802221.1,XP_035658114.1
LOC118403498,XM_035802222.1,XP_035658115.1
LOC118403499,XM_035802223.1,XP_035658116.1
LOC118403500,XM_035802225.1,XP_035658118.1
LOC118403501,XM_035802226.1,XP_035658119.1
LOC118403502,XM_035802227.1,XP_035658120.1
LOC118403503,XM_035802228.1,XP_035658121.1
LOC118403504,XM_035802229.1,XP_035658122.1
LOC118403505,XM_035802230.1,XP_035658123.1
LOC118403506,XM_035802231.1,XP_035658124.1
LOC118403507,XM_035802233.1,XP_035658126.1
LOC118403508,XM_035802234.1,XP_035658127.1
LOC118403509,XM_035802235.1,XP_035658128.1
LOC118403510,XM_035802606.1,XP_035658499.1
LOC118403511,XM_035802237.1,XP_035658130.1
LOC118403512,XM_035802243.1,XP_035658136.1
LOC118403513,XM_035802244.1,XP_035658137.1
LOC118403514,XM_035802245.1,XP_035658138.1
LOC118403515,XM_035802246.1,XP_035658139.1
LOC118403517,XM_035802247.1,XP_035658140.1
LOC118403518,XM_035802249.1,XP_035658142.1
LOC118403519,XM_035802250.1,XP_035658143.1
LOC118403520,XM_035802251.1,XP_035658144.1
LOC118403521,XM_035802252.1,XP_035658145.1
LOC118403522,XM_035802253.1,XP_035658146.1
LOC118403523,XM_035802254.1,XP_035658147.1
LOC118403524,XM_035802256.1,XP_035658149.1
LOC118403525,XM_035802257.1,XP_035658150.1
LOC118403526,XM_035802258.1,XP_035658151.1
LOC118403527,XM_035802259.1,XP_035658152.1
LOC118403528,XM_035802260.1,XP_035658153.1
LOC118403529,XM_035802261.1,XP_035658154.1
LOC118403530,XM_035802262.1,XP_035658155.1
LOC118403531,XM_035802264.1,XP_035658157.1
LOC118403532,XM_035802265.1,XP_035658158.1
LOC118403533,XM_035802266.1,XP_035658159.1
LOC118403534,XM_035802267.1,XP_035658160.1
LOC118403535,XM_035802268.1,XP_035658161.1
LOC118403536,XM_035802269.1,XP_035658162.1
LOC118403537,XM_035802271.1,XP_035658164.1
LOC118403538,XM_035802272.1,XP_035658165.1
LOC118403539,XM_035802273.1,XP_035658166.1
LOC118403540,XM_035802274.1,XP_035658167.1
LOC118403541,XM_035802275.1,XP_035658168.1
LOC118403542,XM_035802276.1,XP_035658169.1
LOC118403543,XM_035802280.1,XP_035658173.1
LOC118403544,XM_035802277.1,XP_035658170.1
LOC118403545,XM_035802278.1,XP_035658171.1
LOC118403546,XM_035802279.1,XP_035658172.1
LOC118403547,XM_035802281.1,XP_035658174.1
LOC118403548,XM_035802282.1,XP_035658175.1
LOC118403549,XM_035802283.1,XP_035658176.1
LOC118403550,XM_035802284.1,XP_035658177.1
LOC118403551,XM_035802285.1,XP_035658178.1
LOC118403552,XM_035802286.1,XP_035658179.1
LOC118403553,XM_035802288.1,XP_035658181.1
LOC118403554,XM_035802289.1,XP_035658182.1
LOC118403555,XM_035802290.1,XP_035658183.1
LOC118403556,XM_035802291.1,XP_035658184.1
LOC118403557,XM_035802292.1,XP_035658185.1
LOC118403558,XM_035802293.1,XP_035658186.1
LOC118403559,XM_035802294.1,XP_035658187.1
LOC118403560,XM_035802296.1,XP_035658189.1
LOC118403561,XM_035802297.1,XP_035658190.1
LOC118403562,XM_035802298.1,XP_035658191.1
LOC118403563,XM_035802299.1,XP_035658192.1
LOC118403564,XM_035802300.1,XP_035658193.1
LOC118403565,XM_035802301.1,XP_035658194.1
LOC118403566,XM_035802302.1,XP_035658195.1
LOC118403567,XM_035802304.1,XP_035658197.1
LOC118403568,XM_035802305.1,XP_035658198.1
LOC118403569,XM_035802306.1,XP_035658199.1
LOC118403570,XM_035802307.1,XP_035658200.1
LOC118403571,XM_035802308.1,XP_035658201.1
LOC118403572,XM_035802309.1,XP_035658202.1
LOC118403573,XM_035802312.1,XP_035658205.1
LOC118403574,XM_035802313.1,XP_035658206.1
LOC118403575,XM_035802314.1,XP_035658207.1
LOC118403576,XM_035802315.1,XP_035658208.1
LOC118403577,XM_035802316.1,XP_035658209.1
LOC118403578,XM_035802317.1,XP_035658210.1
LOC118403579,XM_035802318.1,XP_035658211.1
LOC118403580,XM_035802320.1,XP_035658213.1
LOC118403581,XM_035802322.1,XP_035658215.1
LOC118403582,XM_035802327.1,XP_035658220.1
LOC118403583,XM_035802329.1,XP_035658222.1
LOC118403584,XM_035802330.1,XP_035658223.1
LOC118403585,XM_035802331.1,XP_035658224.1
LOC118403586,XM_035802332.1,XP_035658225.1
LOC118403587,XM_035802337.1,XP_035658230.1
LOC118403588,XM_035802338.1,XP_035658231.1
LOC118403589,XM_035802340.1,XP_035658233.1
LOC118403590,XM_035802341.1,XP_035658234.1
LOC118403591,XM_035802342.1,XP_035658235.1
LOC118403592,XM_035802343.1,XP_035658236.1
LOC118403593,XM_035802347.1,XP_035658240.1
LOC118403594,XM_035802345.1,XP_035658238.1
LOC118403595,XM_035802348.1,XP_035658241.1
LOC118403596,XM_035802362.1,XP_035658255.1
LOC118403597,XM_035802361.1,XP_035658254.1
