"geneID","transcriptID","proteinID","transcript_length"
"111577618","XM_023283971.3","XP_023139739.1",4955
"111577618","XM_023283970.3","XP_023139738.1",4917
"111577620","XM_055011551.1","XP_054867526.1",3704
"111577620","XM_035954528.2","XP_035810421.2",3710
"111577625","XM_023283977.3","XP_023139745.2",4946
"111577625","XM_035954527.2","XP_035810420.2",4949
"111577617","XM_023283968.3","XP_023139736.1",2351
"111577621","XM_023283973.3","XP_023139741.1",2166
"129349535","XM_055013075.1","XP_054869050.1",515
"111563882","XM_055012117.1","XP_054868092.1",4171
"111563874","XM_023263157.3","XP_023118925.2",2418
"111563764","XM_023263012.3","XP_023118780.1",6034
"111563916","XM_023263193.3","XP_023118961.1",3140
"111563916","XM_035944913.2","XP_035800806.1",1911
"111563902","XM_023263186.3","XP_023118954.2",4819
"111563893","XM_023263174.3","XP_023118942.2",8814
"111567335","XM_023268380.3","XP_023124148.2",2978
"111567335","XM_023268379.3","XP_023124147.2",3215
"111567336","XM_023268382.3","XP_023124150.1",1177
"111567336","XM_055010833.1","XP_054866808.1",1087
"111567336","XM_023268381.3","XP_023124149.1",1179
"111567331","XM_023268372.3","XP_023124140.2",2330
"111567331","XM_023268371.3","XP_023124139.2",2393
"111567348","XM_055010787.1","XP_054866762.1",2435
"111567348","XM_055010794.1","XP_054866769.1",2117
"111567329","XM_023268368.3","XP_023124136.2",2934
"111567330","XM_023268369.3","XP_023124137.1",2420
"111567333","XM_023268373.3","XP_023124141.2",4991
"111567333","XM_023268376.3","XP_023124144.2",4937
"111567333","XM_023268377.3","XP_023124145.2",4913
"111567333","XM_023268374.3","XP_023124142.2",4966
"111567342","XM_055017300.1","XP_054873275.1",6085
"111567342","XM_055017037.1","XP_054873012.1",6138
"111567349","XM_035947302.2","XP_035803195.1",1946
"111567347","XM_035947301.2","XP_035803194.2",7145
"111567347","XM_023268399.3","XP_023124167.2",7219
"111567347","XM_023268401.3","XP_023124169.2",7159
"111567347","XM_023268398.3","XP_023124166.2",7282
"111567347","XM_023268397.3","XP_023124165.2",7321
"111567337","XM_023268383.3","XP_023124151.2",4204
"111567337","XM_023268385.3","XP_023124153.2",4200
"111567337","XM_023268384.3","XP_023124152.2",4198
"111567337","XM_055012313.1","XP_054868288.1",4157
"111567339","XM_035947322.2","XP_035803215.2",5664
"111567339","XM_035947319.2","XP_035803212.2",5767
"111567339","XM_035947321.2","XP_035803214.2",5722
"111567339","XM_035947318.2","XP_035803211.2",5815
"111567339","XM_055004970.1","XP_054860945.1",5702
"111567339","XM_035947320.2","XP_035803213.2",5750
"111567339","XM_023268387.3","XP_023124155.2",5794
"111567339","XM_035947323.2","XP_035803216.2",5175
"111567340","XM_055005083.1","XP_054861058.1",4113
"111567340","XM_023268388.3","XP_023124156.1",3824
"111567341","XM_023268389.3","XP_023124157.1",1756
"111567350","XM_023268405.3","XP_023124173.2",2153
"111583874","XM_023293125.2","XP_023148893.2",1300
"111583874","XM_023293126.3","XP_023148894.2",1492
"111566422","XM_055013127.1","XP_054869102.1",2674
"111566422","XM_055013134.1","XP_054869109.1",2671
"111566429","XM_023267014.3","XP_023122782.3",3960
"111566428","XM_023267013.3","XP_023122781.2",3962
"111566424","XM_055013561.1","XP_054869536.1",4707
"111566424","XM_023267006.3","XP_023122774.3",4674
"111566424","XM_023267008.3","XP_023122776.3",4545
"111566424","XM_023267007.3","XP_023122775.3",4617
"111566426","XM_023267011.3","XP_023122779.2",2921
"111566427","XM_023267012.3","XP_023122780.1",5602
"111566425","XM_023267009.3","XP_023122777.1",2341
"111566431","XM_023267015.3","XP_023122783.2",3948
"111566431","XM_035946703.2","XP_035802596.2",4035
"111566421","XM_055012846.1","XP_054868821.1",6357
"111564828","XM_055012841.1","XP_054868816.1",4289
"118469910","XM_035945661.2","XP_035801554.2",1663
"111564831","XM_023264652.3","XP_023120420.1",2044
"111564831","XM_023264653.3","XP_023120421.2",1998
"111564829","XM_023264650.3","XP_023120418.1",3494
"111564829","XM_023264651.3","XP_023120419.1",3431
"111564860","XM_023264698.3","XP_023120466.2",2713
"111564849","XM_055013041.1","XP_054869016.1",3597
"111564849","XM_055013069.1","XP_054869044.1",1953
"111564849","XM_055013045.1","XP_054869020.1",2472
"111564849","XM_055013054.1","XP_054869029.1",2330
"111564849","XM_023264686.3","XP_023120454.2",2164
"111564840","XM_055010463.1","XP_054866438.1",8101
"111564840","XM_023264670.3","XP_023120438.2",8227
"111564840","XM_023264672.3","XP_023120440.2",7947
"111564850","XM_023264687.3","XP_023120455.1",1184
"111564836","XM_023264663.3","XP_023120431.2",3675
"111564832","XM_035945672.2","XP_035801565.2",2987
"111564832","XM_035945673.2","XP_035801566.2",2958
"111564832","XM_023264654.3","XP_023120422.2",2960
"111564825","XM_055007454.1","XP_054863429.1",5945
"111564825","XM_023264636.3","XP_023120404.2",5611
"111564824","XM_023264635.3","XP_023120403.2",6775
"111564857","XM_023264695.3","XP_023120463.2",3085
"111564857","XM_023264693.3","XP_023120461.2",3134
"111564857","XM_023264694.3","XP_023120462.2",3145
"111564826","XM_023264637.3","XP_023120405.1",8865
"111564826","XM_055009919.1","XP_054865894.1",8862
"111564826","XM_055009937.1","XP_054865912.1",8760
"111564826","XM_055009943.1","XP_054865918.1",8757
"111564826","XM_055009926.1","XP_054865901.1",8859
"111564826","XM_055009922.1","XP_054865897.1",8859
"111564826","XM_055009956.1","XP_054865931.1",8754
"111564826","XM_055009929.1","XP_054865904.1",8832
"111564826","XM_055009949.1","XP_054865924.1",8727
"111564826","XM_055009932.1","XP_054865907.1",8763
"111564826","XM_055009940.1","XP_054865915.1",8757
"111564826","XM_055009950.1","XP_054865925.1",8652
"111564826","XM_055009945.1","XP_054865920.1",8730
"111564833","XM_023264656.3","XP_023120424.2",3187
"111564833","XM_023264659.3","XP_023120427.2",3169
"111564833","XM_055010608.1","XP_054866583.1",3050
"111564834","XM_023264660.3","XP_023120428.2",6646
"111564842","XM_023264675.3","XP_023120443.1",1501
"111564842","XM_023264674.3","XP_023120442.1",1561
"111564851","XM_023264688.3","XP_023120456.2",2001
"111564841","XM_023264673.3","XP_023120441.2",2931
"111564848","XM_023264685.3","XP_023120453.2",2990
"111564835","XM_023264661.3","XP_023120429.1",4112
"111564835","XM_023264662.3","XP_023120430.1",4109
"111562632","XM_023261267.3","XP_023117035.2",2570
"111562647","XM_023261294.3","XP_023117062.1",2632
"111562565","XM_023261160.3","XP_023116928.1",6645
"111562565","XM_023261179.3","XP_023116947.1",6519
"111562565","XM_023261155.3","XP_023116923.1",6746
"111562565","XM_023261170.3","XP_023116938.1",6620
"111562565","XM_035944077.2","XP_035799970.1",4385
"111562565","XM_035944087.2","XP_035799980.1",7321
"111564431","XM_055012201.1","XP_054868176.1",2501
"111564431","XM_055012217.1","XP_054868192.1",2596
"111564431","XM_055012212.1","XP_054868187.1",2588
"111564431","XM_055012207.1","XP_054868182.1",2683
"111564431","XM_055012202.1","XP_054868177.1",3026
"111564431","XM_055012222.1","XP_054868197.1",922
"129349309","XM_055012227.1","XP_054868202.1",1584
"129349309","XM_055012233.1","XP_054868208.1",1475
"111562668","XM_023261331.3","XP_023117099.2",4112
"111562639","XM_023261284.3","XP_023117052.2",2687
"111562639","XM_035944109.2","XP_035800002.2",2546
"111562582","XM_055013596.1","XP_054869571.1",6993
"111562582","XM_055013592.1","XP_054869567.1",7023
"111562582","XM_055013590.1","XP_054869565.1",7055
"111581116","XM_055009567.1","XP_054865542.1",8425
"111581116","XM_023290310.3","XP_023146078.1",8427
"111581116","XM_055009562.1","XP_054865537.1",8634
"111581116","XM_023289520.3","XP_023145288.1",8637
"111571396","XM_035952049.2","XP_035807942.2",4493
"111571396","XM_035952342.2","XP_035808235.2",4436
"111571396","XM_023274900.3","XP_023130668.2",4356
"111571396","XM_035951754.2","XP_035807647.2",4348
"111571396","XM_035951451.2","XP_035807344.2",4392
"111577642","XM_023285222.3","XP_023140990.1",2467
"111577642","XM_023284415.3","XP_023140183.1",2643
"111562382","XM_023261273.3","XP_023117041.1",4701
"111587632","XM_023298042.3","XP_023153810.1",1897
"111563133","XM_035941349.2","XP_035797242.1",3935
"111563133","XM_035941009.2","XP_035796902.1",3940
"111563133","XM_023263225.3","XP_023118993.1",3930
"111563133","XM_023262464.3","XP_023118232.1",3935
"111578967","XM_023287191.3","XP_023142959.1",3333
"111578967","XM_023286410.3","XP_023142178.1",3365
"111580290","XM_023288361.3","XP_023144129.1",2523
"111584110","XM_023293628.3","XP_023149396.2",2223
"111583262","XM_035957028.2","XP_035812921.2",4269
"111575849","XM_023282402.3","XP_023138170.1",3362
"111575849","XM_035955944.2","XP_035811837.1",3347
"111575849","XM_023283225.3","XP_023138993.1",3351
"111575849","XM_023281618.3","XP_023137386.1",3327
"111575849","XM_035956286.2","XP_035812179.1",3373
"111575849","XM_035956567.2","XP_035812460.1",3354
"111572981","XM_023278838.3","XP_023134606.1",4151
"111572981","XM_023278066.3","XP_023133834.1",4100
"111572981","XM_023279625.3","XP_023135393.1",4089
"111565500","XM_035942202.2","XP_035798095.2",1395
"111582442","XM_023291511.3","XP_023147279.1",3288
"111585021","XM_023294754.3","XP_023150522.1",3071
"111588429","XM_023299209.3","XP_023154977.1",4296
"111564938","XM_023265225.3","XP_023120993.1",2998
"111572158","XM_055010520.1","XP_054866495.1",5887
"111572158","XM_055010531.1","XP_054866506.1",5826
"111573064","XM_023277020.3","XP_023132788.2",6853
"111573064","XM_023277021.3","XP_023132789.2",6814
"111573073","XM_035951339.2","XP_035807232.1",4190
"111573077","XM_023277038.3","XP_023132806.2",999
"111573067","XM_023277026.3","XP_023132794.2",5098
"111573075","XM_023277037.3","XP_023132805.2",2449
"111573074","XM_023277036.3","XP_023132804.2",1871
"111573070","XM_023277030.3","XP_023132798.1",1477
"111573059","XM_035951333.2","XP_035807226.2",2027
"111573072","XM_055011656.1","XP_054867631.1",1119
"111573081","XM_055013679.1","XP_054869654.1",1232
"111573081","XM_023277043.3","XP_023132811.1",1219
"111573080","XM_023277042.3","XP_023132810.1",2580
"111573078","XM_035951337.2","XP_035807230.2",4197
"111573079","XM_023277040.3","XP_023132808.1",5588
"111565064","XM_055010745.1","XP_054866720.1",7215
"111565064","XM_055010740.1","XP_054866715.1",7245
"111565070","XM_023265034.3","XP_023120802.2",4464
"111565070","XM_055009598.1","XP_054865573.1",4419
"111565070","XM_055009543.1","XP_054865518.1",4461
"111565070","XM_055009588.1","XP_054865563.1",4443
"111565070","XM_055009623.1","XP_054865598.1",4407
"111565070","XM_055009677.1","XP_054865652.1",4167
"111565070","XM_055009651.1","XP_054865626.1",4404
"111565070","XM_055009717.1","XP_054865692.1",4043
"111565070","XM_055009563.1","XP_054865538.1",4428
"111565062","XM_023265025.3","XP_023120793.1",1555
"111565065","XM_023265029.3","XP_023120797.2",3695
"111565063","XM_035945836.2","XP_035801729.1",3397
"111565063","XM_023265026.3","XP_023120794.1",3381
"111565060","XM_023265022.3","XP_023120790.2",4172
"111565067","XM_023265030.3","XP_023120798.1",2056
"111565057","XM_023265017.3","XP_023120785.2",816
"111565057","XM_023265018.3","XP_023120786.2",911
"111565056","XM_035945841.2","XP_035801734.2",2215
"111565068","XM_023265031.3","XP_023120799.2",3303
"111565055","XM_023265014.3","XP_023120782.1",2036
"111565059","XM_023265020.3","XP_023120788.2",2458
"111565058","XM_023265019.3","XP_023120787.2",2580
"111565061","XM_023291041.3","XP_023146809.1",4885
"111565061","XM_023265024.3","XP_023120792.1",4880
"111565073","XM_023265043.3","XP_023120811.2",3608
"111565069","XM_023265032.3","XP_023120800.1",2308
"111588401","XM_055011701.1","XP_054867676.1",4329
"111588401","XM_023298793.3","XP_023154561.2",3672
"111588398","XM_023298788.2","XP_023154556.1",601
"111588397","XM_023298787.3","XP_023154555.1",1415
"111588394","XM_035943140.2","XP_035799033.2",8059
"111588394","XM_055010004.1","XP_054865979.1",8113
"111588394","XM_035943136.2","XP_035799029.2",8062
"111588394","XM_055010011.1","XP_054865986.1",7908
"111588394","XM_023298777.3","XP_023154545.3",8115
"111588394","XM_055010007.1","XP_054865982.1",7961
"111588394","XM_055010012.1","XP_054865987.1",8485
"111588394","XM_055010018.1","XP_054865993.1",7484
"111588394","XM_055010014.1","XP_054865989.1",7478
"111588394","XM_055010020.1","XP_054865995.1",7326
"111588400","XM_023298791.3","XP_023154559.1",3153
"111588400","XM_055013547.1","XP_054869522.1",3209
"111588403","XM_023298796.3","XP_023154564.2",3290
"111588396","XM_023298786.3","XP_023154554.2",3696
"111588402","XM_023298794.3","XP_023154562.1",13505
"111588402","XM_023298795.3","XP_023154563.1",13502
"111588399","XM_023298789.3","XP_023154557.1",5158
"111580049","XM_055009998.1","XP_054865973.1",5959
"111580050","XM_023287608.3","XP_023143376.2",2557
"111580048","XM_023287606.3","XP_023143374.2",1233
"111580057","XM_055010873.1","XP_054866848.1",6312
"111580057","XM_055010870.1","XP_054866845.1",6361
"111580062","XM_023287626.3","XP_023143394.1",5226
"111580062","XM_055010867.1","XP_054866842.1",5378
"111580059","XM_023287623.3","XP_023143391.1",2016
"118471428","XM_035955972.2","XP_035811865.2",4447
"111580061","XM_023287624.3","XP_023143392.1",3007
"111580054","XM_023287618.3","XP_023143386.1",2276
"111580056","XM_023287620.3","XP_023143388.1",820
"111580055","XM_023287619.3","XP_023143387.1",1127
"111580058","XM_023287622.3","XP_023143390.1",497
"111580051","XM_023287609.3","XP_023143377.1",5596
"111580051","XM_023287610.3","XP_023143378.1",5638
"111580053","XM_035955969.2","XP_035811862.2",1154
"111580053","XM_035955970.2","XP_035811863.2",1284
"111580053","XM_023287613.3","XP_023143381.2",1343
"111580053","XM_023287611.3","XP_023143379.2",1191
"111580053","XM_023287617.3","XP_023143385.2",1682
"111580053","XM_023287615.3","XP_023143383.2",1351
"111580053","XM_023287614.3","XP_023143382.2",1674
"111580053","XM_035955971.2","XP_035811864.2",4820
"111577822","XM_023284280.3","XP_023140048.2",3506
"111577822","XM_023284279.3","XP_023140047.2",3509
"111577823","XM_023284282.3","XP_023140050.1",2731
"111567321","XM_035947277.2","XP_035803170.2",6918
"111567318","XM_055016071.1","XP_054872046.1",4373
"111563918","XM_023263195.3","XP_023118963.1",2708
"111563919","XM_023263196.3","XP_023118964.1",1967
"111563922","XM_023263199.3","XP_023118967.1",4734
"111563914","XM_035944902.2","XP_035800795.2",2407
"111563920","XM_023263197.3","XP_023118965.2",5058
"111563915","XM_023263189.3","XP_023118957.1",5046
"111563915","XM_023263191.3","XP_023118959.1",5031
"111563915","XM_023263188.3","XP_023118956.1",5091
"111563915","XM_055012418.1","XP_054868393.1",5096
"111563917","XM_023263194.3","XP_023118962.2",11100
"111572852","XM_023276693.3","XP_023132461.2",4132
"111572852","XM_035951188.2","XP_035807081.2",4096
"111572853","XM_023276694.3","XP_023132462.1",1973
"118470744","XM_055011626.1","XP_054867601.1",7806
"111572854","XM_023276695.3","XP_023132463.1",4686
"111572847","XM_035951192.2","XP_035807085.1",3201
"111572847","XM_035951193.2","XP_035807086.1",3032
"111572847","XM_023276684.3","XP_023132452.1",3203
"111572847","XM_023276685.3","XP_023132453.1",3034
"111572850","XM_055011105.1","XP_054867080.1",3315
"111572850","XM_055011109.1","XP_054867084.1",3280
"111572856","XM_023276697.3","XP_023132465.1",7645
"111572856","XM_023276698.3","XP_023132466.1",7621
"111572856","XM_023276704.3","XP_023132472.1",7402
"111572856","XM_023276702.3","XP_023132470.1",7588
"111572856","XM_023276700.3","XP_023132468.1",7609
"111572856","XM_023276696.3","XP_023132464.1",7648
"111572856","XM_023276709.3","XP_023132477.1",7311
"111572856","XM_055011087.1","XP_054867062.1",7332
"111572856","XM_023276705.3","XP_023132473.1",7371
"111572856","XM_023276707.3","XP_023132475.1",7557
"111572856","XM_023276708.3","XP_023132476.1",7578
"111572856","XM_023276699.3","XP_023132467.1",7617
"111572856","XM_055011080.1","XP_054867055.1",6850
"111572856","XM_023276706.3","XP_023132474.1",7263
"111572857","XM_023276710.3","XP_023132478.2",3696
"111572848","XM_023276686.3","XP_023132454.1",1532
"111572851","XM_023276692.3","XP_023132460.2",4345
"111572851","XM_023276690.3","XP_023132458.2",4381
"111572851","XM_023276691.3","XP_023132459.2",4363
"111572851","XM_035951191.2","XP_035807084.2",4336
"111572849","XM_023276687.3","XP_023132455.1",509
"111574612","XM_055011967.1","XP_054867942.1",6049
"111574612","XM_055011970.1","XP_054867945.1",6028
"111574612","XM_055011974.1","XP_054867949.1",5846
"111574612","XM_055011976.1","XP_054867951.1",5824
"111574615","XM_023279295.2","XP_023135063.1",1121
"111574613","XM_035952399.2","XP_035808292.1",2229
"111574616","XM_023279296.3","XP_023135064.1",534
"111574610","XM_023279288.3","XP_023135056.1",6753
"111574610","XM_023279289.3","XP_023135057.1",6735
"111574611","XM_035952396.2","XP_035808289.2",2716
"111574611","XM_023279290.3","XP_023135058.2",3547
"111574617","XM_035952397.2","XP_035808290.1",4902
"111563269","XM_023262275.3","XP_023118043.1",2574
"111563269","XM_023262276.3","XP_023118044.1",2547
"111563269","XM_023262277.3","XP_023118045.1",2442
"111563269","XM_055011152.1","XP_054867127.1",2571
"111563271","XM_035944458.2","XP_035800351.1",3664
"111563267","XM_035944432.2","XP_035800325.2",5003
"111563267","XM_035944433.2","XP_035800326.2",4995
"111563267","XM_035944428.2","XP_035800321.2",5061
"111563267","XM_035944429.2","XP_035800322.2",5049
"111563267","XM_035944436.2","XP_035800329.2",4919
"111563267","XM_035944434.2","XP_035800327.2",4979
"111563267","XM_035944441.2","XP_035800334.2",4907
"111563267","XM_035944439.2","XP_035800332.2",4925
"111563267","XM_035944438.2","XP_035800331.2",4925
"111563267","XM_035944450.2","XP_035800343.2",4784
"111563267","XM_035944430.2","XP_035800323.2",5011
"111563267","XM_055011581.1","XP_054867556.1",4858
"111563267","XM_035944442.2","XP_035800335.2",4843
