"geneID","transcriptID","proteinID","symbol","description"
111564857,"XM_023264694.3","XP_023120462","marchf7","membrane-associated ring finger (C3HC4) 7"
111564826,"XM_023264637.3","XP_023120405","baz2ba_BAZ2B","bromodomain adjacent to zinc finger domain, 2Ba"
111564833,"XM_023264656.3","XP_023120424","wdsub1","WD repeat, sterile alpha motif and U-box domain containing 1"
111564834,"XM_023264660.3","XP_023120428","LOC111564834_ENSAOCG00000009536","protein TANC1-like"
111564842,"XM_023264674.3","XP_023120442","gtf2f2a","general transcription factor IIF, polypeptide 2a"
111564851,"XM_023264688.3","XP_023120456","gpalpp1","GPALPP motifs containing 1"
111564841,"XM_023264673.3","XP_023120441","ercc3","excision repair cross-complementation group 3"
111564848,"XM_023264685.3","XP_023120453","LOC111564848_cyp27c1","cytochrome P450 27C1"
111564835,"XM_023264661.3","XP_023120429","rbm26","RNA binding motif protein 26"
111562632,"XM_023261267.3","XP_023117035","obi1_ENSAOCG00000001406","ORC ubiquitin ligase 1"
111562647,"XM_023261294.3","XP_023117062","pou4f1","POU class 4 homeobox 1"
111562565,"XM_035944087.2","XP_035799980","LOC111562565_PCDH9","protocadherin-9"
111564431,"XM_055012202.1","XP_054868177","LOC111564431","uncharacterized LOC111564431"
129349309,"XM_055012227.1","XP_054868202","LOC129349309","uncharacterized LOC129349309"
111562668,"XM_023261331.3","XP_023117099","LOC111562668_PCDH20","protocadherin-20"
111562639,"XM_023261284.3","XP_023117052","tdrd3","tudor domain containing 3"
111562582,"XM_055013590.1","XP_054869565","LOC111562582_diaph3","protein diaphanous homolog 3-like"
111581116,"XM_023289520.3","XP_023145288","pcdh17","protocadherin 17"
111571396,"XM_035952049.2","XP_035807942","nkpd1_ENSAOCG00000024759","NTPase, KAP family P-loop domain containing 1"
111577642,"XM_023284415.3","XP_023140183","lims1","LIM and senescent cell antigen-like domains 1"
111562382,"XM_023261273.3","XP_023117041","LOC111562382_ENSAOCG00000024753","F-box/LRR-repeat protein 3-like"
111587632,"XM_023298042.3","XP_023153810","LOC111587632_ENSAOCG00000024747","CD209 antigen-like protein B"
111563133,"XM_035941009.2","XP_035796902","tgfbrap1","transforming growth factor, beta receptor associated protein 1"
111578967,"XM_023286410.3","XP_023142178","cul4a","cullin 4A"
111580290,"XM_023288361.3","XP_023144129","lamp1a_LAMP1","lysosomal associated membrane protein 1a"
111584110,"XM_023293628.3","XP_023149396","grtp1a","growth hormone regulated TBC protein 1a"
111583262,"XM_035957028.2","XP_035812921","adprhl1","ADP-ribosylhydrolase like 1"
111575849,"XM_035956286.2","XP_035812179","dcun1d2b","DCN1, defective in cullin neddylation 1, domain containing 2b"
111572981,"XM_023278838.3","XP_023134606","tmco3","transmembrane and coiled-coil domains 3"
111565500,"XM_035942202.2","XP_035798095","LOC111565500_ATP4B","ATPase H+/K+ transporting subunit beta"
111582442,"XM_023291511.3","XP_023147279","grk1a","G protein-coupled receptor kinase 1 a"
111585021,"XM_023294754.3","XP_023150522","LOC111585021_ENSAOCG00000024680","transmembrane protein 255B"
111588429,"XM_023299209.3","XP_023154977","gas6_ENSAOCG00000024677","growth arrest-specific 6"
111564938,"XM_023265225.3","XP_023120993","pros1","protein S"
111572158,"XM_055010520.1","XP_054866495","rasa3","RAS p21 protein activator 3"
111573064,"XM_023277020.3","XP_023132788","tpp2","tripeptidyl peptidase 2"
111573073,"XM_035951339.2","XP_035807232","LOC111573073_ENSAOCG00000005766","protein-lysine methyltransferase METTL21C"
111573077,"XM_023277038.3","XP_023132806","mettl21e","methyltransferase like 21e"
111573067,"XM_023277026.3","XP_023132794","ercc5","excision repair cross-complementation group 5"
111573075,"XM_023277037.3","XP_023132805","blzf1","basic leucine zipper nuclear factor 1"
111573074,"XM_023277036.3","XP_023132804","trmt10c","tRNA methyltransferase 10C, mitochondrial RNase P subunit"
111573070,"XM_023277030.3","XP_023132798","txnl4b","thioredoxin-like 4B"
111573059,"XM_035951333.2","XP_035807226","LOC111573059","tyrosinase-like.1"
111573072,"XM_055011656.1","XP_054867631","mrpl16","mitochondrial ribosomal protein L16"
111573081,"XM_055013679.1","XP_054869654","cenpq_ENSAOCG00000005913","centromere protein Q"
111573080,"XM_023277042.3","XP_023132810","LOC111573080_ENSAOCG00000000277","C5a anaphylatoxin chemotactic receptor 1"
111573078,"XM_035951337.2","XP_035807230","LOC111573078_ENSAOCG00000006019","ephrin-B2a-like"
111573079,"XM_023277040.3","XP_023132808","gpc5a","glypican 5a"
111565064,"XM_055010740.1","XP_054866715","gpc6a","glypican 6a"
111565070,"XM_023265034.3","XP_023120802","LOC111565070","LIM domain only protein 7-like"
111565062,"XM_023265025.3","XP_023120793","LOC111565062","BTB/POZ domain-containing protein KCTD12-like"
111565065,"XM_023265029.3","XP_023120797","slc5a7a_SLC5A7","solute carrier family 5 member 7a"
111565063,"XM_035945836.2","XP_035801729","arl6","ADP-ribosylation factor-like 6"
111565060,"XM_023265022.3","XP_023120790","LOC111565060_EPHA6","ephrin type-A receptor 6-like"
111565067,"XM_023265030.3","XP_023120798","nsun3","NOP2/Sun RNA methyltransferase 3"
111565057,"XM_023265018.3","XP_023120786","LOC111565057_atp5mc3b","ATP synthase F(0) complex subunit C3, mitochondrial-like"
111565056,"XM_035945841.2","XP_035801734","rrad","Ras-related associated with diabetes"
111565068,"XM_023265031.3","XP_023120799","cdh16_ENSAOCG00000003659","cadherin 16, KSP-cadherin"
111565055,"XM_023265014.3","XP_023120782","ca7","carbonic anhydrase VII"
111565059,"XM_023265020.3","XP_023120788","nae1","nedd8 activating enzyme E1 subunit 1"
111565058,"XM_023265019.3","XP_023120787","si:dkey-56m19.5_ENSAOCG00000003713","fibrous sheath CABYR-binding protein"
111565061,"XM_023291041.3","XP_023146809","dync1li2","dynein, cytoplasmic 1, light intermediate chain 2"
111565073,"XM_023265043.3","XP_023120811","cmtm4","CKLF-like MARVEL transmembrane domain containing 4"
111565069,"XM_023265032.3","XP_023120800","cmtm3","CKLF-like MARVEL transmembrane domain containing 3"
111588401,"XM_055011701.1","XP_054867676","galns","galactosamine (N-acetyl)-6-sulfatase"
111588398,"XM_023298788.2","XP_023154556","trappc2l","trafficking protein particle complex subunit 2L"
111588397,"XM_023298787.3","XP_023154555","pabpn1l","PABPN1 like, cytoplasmic"
111588394,"XM_055010012.1","XP_054865987","cbfa2t3","CBFA2/RUNX1 partner transcriptional co-repressor 3"
111588400,"XM_055013547.1","XP_054869522","acsf3","acyl-CoA synthetase family member 3"
111588403,"XM_023298796.3","XP_023154564","cdh15","cadherin 15, type 1, M-cadherin (myotubule)"
111588396,"XM_023298786.3","XP_023154554","spg7","SPG7 matrix AAA peptidase subunit, paraplegin"
111588402,"XM_023298794.3","XP_023154562","ankrd11","ankyrin repeat domain 11"
111588399,"XM_023298789.3","XP_023154557","slc22a31","solute carrier family 22 member 31"
111580049,"XM_055009998.1","XP_054865973","LOC111580049_dpep1","dipeptidyl aminopeptidase-like protein 6.2"
111580050,"XM_023287608.3","XP_023143376","dpep1","dipeptidase 1"
111580048,"XM_023287606.3","XP_023143374","sult5a1","sulfotransferase family 5A, member 1"
111580057,"XM_055010870.1","XP_054866845","hp_ENSAOCG00000000248","haptoglobin"
111580062,"XM_055010867.1","XP_054866842","LOC111580062_ENSAOCG00000005386","adenosine receptor A3-like"
111580059,"XM_023287623.3","XP_023143391","dhodh","dihydroorotate dehydrogenase"
118471428,"XM_035955972.2","XP_035811865","LOC118471428","polycystic kidney disease protein 1-like 2.1"
111580061,"XM_023287624.3","XP_023143392","ist1","IST1 factor associated with ESCRT-III"
111580054,"XM_023287618.3","XP_023143386","mphosph10","M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)"
111580056,"XM_023287620.3","XP_023143388","mcee","methylmalonyl CoA epimerase"
111580055,"XM_023287619.3","XP_023143387","LOC111580055_FTH1","ferritin, heavy subunit"
111580058,"XM_023287622.3","XP_023143390","rplp2l","ribosomal protein, large P2, like"
111580051,"XM_023287610.3","XP_023143378","lin7c_ENSAOCG00000005524","lin-7 homolog C (C. elegans)"
111580053,"XM_035955971.2","XP_035811864","bdnf","brain-derived neurotrophic factor"
111577822,"XM_023284279.3","XP_023140047","kif18a_ENSAOCG00000004366","kinesin family member 18A"
111577823,"XM_023284282.3","XP_023140050","mettl15","methyltransferase 15, mitochondrial 12S rRNA N4-cytidine"
111567321,"XM_035947277.2","XP_035803170","lgr4","leucine-rich repeat containing G protein-coupled receptor 4"
111567318,"XM_055016071.1","XP_054872046","mybpc3","myosin binding protein C3"
111563918,"XM_023263195.3","XP_023118963","spi1b","Spi-1 proto-oncogene b"
111563919,"XM_023263196.3","XP_023118964","slc39a13","solute carrier family 39 member 13"
111563922,"XM_023263199.3","XP_023118967","tmem276b_ENSAOCG00000001987","transmembrane protein 276b"
111563914,"XM_035944902.2","XP_035800795","gas2b_GAS2","growth arrest-specific 2b"
111563920,"XM_023263197.3","XP_023118965","slc17a6b","solute carrier family 17 member 6b"
111563915,"XM_055012418.1","XP_054868393","ano5b","anoctamin 5b"
111563917,"XM_023263194.3","XP_023118962","igdcc3","immunoglobulin superfamily, DCC subclass, member 3"
111572852,"XM_023276693.3","XP_023132461","cilp","cartilage intermediate layer protein, nucleotide pyrophosphohydrolase"
111572853,"XM_023276694.3","XP_023132462","eif3jb","eukaryotic translation initiation factor 3, subunit Jb"
118470744,"XM_055011626.1","XP_054867601","strc1","stereocilin 1"
111572854,"XM_023276695.3","XP_023132463","ctdspl2b_CTDSPL2","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2b"
111572847,"XM_023276684.3","XP_023132452","golm2","golgi membrane protein 2"
111572850,"XM_055011105.1","XP_054867080","fam189a1","family with sequence similarity 189 member A1"
111572856,"XM_023276696.3","XP_023132464","tjp1a_TJP1","tight junction protein 1a"
111572857,"XM_023276710.3","XP_023132478","terb2","telomere repeat binding bouquet formation protein 2"
111572848,"XM_023276686.3","XP_023132454","sord","sorbitol dehydrogenase"
111572851,"XM_023276690.3","XP_023132458","apba2b_APBA2","amyloid beta (A4) precursor protein-binding, family A, member 2b"
111572849,"XM_023276687.3","XP_023132455","saa","serum amyloid A"
111574612,"XM_055011967.1","XP_054867942","syt7b","synaptotagmin VIIb"
111574615,"XM_023279295.2","XP_023135063","sdhaf2","succinate dehydrogenase complex assembly factor 2"
111574613,"XM_035952399.2","XP_035808292","LOC111574613_CPSF7","cleavage and polyadenylation specificity factor subunit 7"
111574616,"XM_023279296.3","XP_023135064","polr2l","RNA polymerase II, I and III subunit L"
111574610,"XM_023279288.3","XP_023135056","dagla","diacylglycerol lipase, alpha"
111574611,"XM_023279290.3","XP_023135058","ext2","exostosin glycosyltransferase 2"
111574617,"XM_035952397.2","XP_035808290","alx4a","ALX homeobox 4a"
111563269,"XM_023262275.3","XP_023118043","caprin1a","cell cycle associated protein 1a"
111563271,"XM_035944458.2","XP_035800351","nucb2a","nucleobindin 2a"
111563267,"XM_035944449.2","XP_035800342","plekha7b_PLEKHA7","pleckstrin homology domain containing, family A member 7b"
111563268,"XM_055010208.1","XP_054866183","sox6","SRY-box transcription factor 6"
111563278,"XM_023262288.3","XP_023118056","calca_CALCB","calcitonin/calcitonin-related polypeptide, alpha"
111563276,"XM_023262284.3","XP_023118052","LOC111563276_CYP2R1","vitamin D 25-hydroxylase"
111563275,"XM_023262283.3","XP_023118051","pde3b","phosphodiesterase 3B"
111563273,"XM_023262281.3","XP_023118049","copb1","COPI coat complex subunit beta 1"
111563272,"XM_023262279.3","XP_023118047","rras2","RAS related 2"
111570147,"XM_023272750.3","XP_023128518","tub","TUB bipartite transcription factor"
111570149,"XM_035949319.2","XP_035805212","ric3a_ENSAOCG00000009639","RIC3 acetylcholine receptor chaperone a"
111568062,"XM_023269531.3","XP_023125299","lmo1","LIM domain only 1"
111582376,"XM_055009331.1","XP_054865306","stk33","serine/threonine kinase 33"
111582379,"XM_023291026.3","XP_023146794","rerglb","RERG/RAS-like b"
111571379,"XM_055013606.1","XP_054869581","trim66_ENSAOCG00000008272","tripartite motif containing 66"
111584832,"XM_055010256.1","XP_054866231","dennd2b","DENN domain containing 2B"
111584829,"XM_023294125.3","XP_023149893","tmem9b","TMEM9 domain family, member B"
111584828,"XM_023294122.3","XP_023149890","scube2","signal peptide, CUB domain, EGF-like 2"
111584833,"XM_023294134.3","XP_023149902","sinhcafl","SIN3-HDAC complex associated factor, like"
111584830,"XM_035940914.2","XP_035796807","dennd5a","DENN/MADD domain containing 5A"
111584831,"XM_023294131.3","XP_023149899","tmem41b","transmembrane protein 41B"
111575894,"XM_023281304.3","XP_023137072","ipo7","importin 7"
111575893,"XM_055010481.1","XP_054866456","swap70a_SWAP70","switching B cell complex subunit SWAP70a"
111576893,"XM_023282852.3","XP_023138620","sbf2","SET binding factor 2"
111576892,"XM_023282851.3","XP_023138619","adma","adrenomedullin a"
111576889,"XM_023282849.3","XP_023138617","ampd3a_AMPD3","adenosine monophosphate deaminase 3a"
111576890,"XM_023282850.3","XP_023138618","lyve1a","lymphatic vessel endothelial hyaluronic receptor 1a"
111576886,"XM_023282843.3","XP_023138611","mrvi1_IRAG1","murine retrovirus integration site 1 homolog"
111576885,"XM_023282840.3","XP_023138608","ctr9","CTR9 homolog, Paf1/RNA polymerase II complex component"
111576882,"XM_023282838.2","XP_023138606","eif4g2a","eukaryotic translation initiation factor 4, gamma 2a"
111576887,"XM_035954050.2","XP_035809943","galnt18b_GALNT18","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 18b"
111583341,"XM_055013328.1","XP_054869303","LOC111583341","SUN domain-containing protein 3-like.1"
111583340,"XM_035958207.2","XP_035814100","btbd10b_BTBD10","BTB (POZ) domain containing 10b"
111583338,"XM_055013274.1","XP_054869249","bmal1b","basic helix-loop-helix ARNT like 1b"
129349185,"XM_055011695.1","XP_054867670","rassf10b","Ras association domain family member 10b"
111570483,"XM_023273260.3","XP_023129028","tead1b_TEAD1","TEA domain family member 1b"
111570486,"XM_055013092.1","XP_054869067","mical2a_MICAL2","microtubule associated monooxygenase, calponin and LIM domain containing 2a"
111570482,"XM_055013110.1","XP_054869085","dkk3a","dickkopf WNT signaling pathway inhibitor 3a"
111570480,"XM_023273256.3","XP_023129024","usp47","ubiquitin specific peptidase 47"
111570490,"XM_023273288.3","XP_023129056","clec3a","C-type lectin domain family 3, member A"
111570489,"XM_035949534.2","XP_035805427","vat1l","vesicle amine transport 1-like"
111570491,"XM_023273290.3","XP_023129058","bola3","bolA family member 3"
111570479,"XM_055013687.1","XP_054869662","pkd1l2a_ENSAOCG00000013407","polycystic kidney disease 1 like 2a"
111570485,"XM_055010079.1","XP_054866054","nfat5b_ENSAOCG00000013026","nuclear factor of activated T cells 5b"
111570487,"XM_023273280.3","XP_023129048","kars1","lysyl-tRNA synthetase 1"
111571135,"XM_023274210.3","XP_023129978","gcshb","glycine cleavage system protein H (aminomethyl carrier), b"
111571133,"XM_023274208.3","XP_023129976","rpl13","ribosomal protein L13"
111571132,"XM_023274205.3","XP_023129973","cpne7","copine VII"
111571134,"XM_023274209.3","XP_023129977","zgc:162592","uncharacterized LOC111571134"
111582316,"XM_023290934.3","XP_023146702","LOC111582316","cytochrome b5"
111581173,"XM_035956779.2","XP_035812672","dhx38","DEAH (Asp-Glu-Ala-His) box polypeptide 38"
111581172,"XM_055011433.1","XP_054867408","zfhx3b","zinc finger homeobox 3b"
111566205,"XM_035946591.2","XP_035802484","hnf4b_ENSAOCG00000023816","hepatic nuclear factor 4, beta"
111566208,"XM_023266688.3","XP_023122456","crispld2","cysteine-rich secretory protein LCCL domain containing 2"
111566203,"XM_023266675.3","XP_023122443","usp10","ubiquitin specific peptidase 10"
111566204,"XM_035946595.2","XP_035802488","marveld3","MARVEL domain containing 3"
